id,suit,suit_display,value,value_display
1,1,Club,1,2
2,1,Club,2,3
3,1,Club,3,4
4,1,Club,4,5
5,1,Club,5,6
6,1,Club,6,7
7,1,Club,7,8
8,1,Club,8,9
9,1,Club,9,10
10,1,Club,10,J
11,1,Club,11,Q
12,1,Club,12,K
13,1,Club,13,A
14,2,Diamond,1,2
15,2,Diamond,2,3
16,2,Diamond,3,4
17,2,Diamond,4,5
18,2,Diamond,5,6
19,2,Diamond,6,7
20,2,Diamond,7,8
21,2,Diamond,8,9
22,2,Diamond,9,10
23,2,Diamond,10,J
24,2,Diamond,11,Q
25,2,Diamond,12,K
26,2,Diamond,13,A
27,3,Heart,1,2
28,3,Heart,2,3
29,3,Heart,3,4
30,3,Heart,4,5
31,3,Heart,5,6
32,3,Heart,6,7
33,3,Heart,7,8
34,3,Heart,8,9
35,3,Heart,9,10
36,3,Heart,10,J
37,3,Heart,11,Q
38,3,Heart,12,K
39,3,Heart,13,A
40,4,Spade,1,2
41,4,Spade,2,3
42,4,Spade,3,4
43,4,Spade,4,5
44,4,Spade,5,6
45,4,Spade,6,7
46,4,Spade,7,8
47,4,Spade,8,9
48,4,Spade,9,10
49,4,Spade,10,J
50,4,Spade,11,Q
51,4,Spade,12,K
52,4,Spade,13,A
